sample,label,dataset
"Compared to other team sports, the National Football League preseason is very structured. Every NFL team plays exactly four pre-season exhibition games a year, two of which are ""home"" games (in other words, played in their home stadium) and two which are ""away"" games. The team in each of the four home ""away"" games plays the other team the next week and the teams play their ""home"" and ""away"" opponents the following week. Each team only plays four pre-season games, but there is a long-term schedule for each team in the preseason and postseason. Each team starts the preseason in the same week it goes onto the field for the regular season. For instance, the Philadelphia Eagles begin the first preseason game on Thursday, April 13, and finish the fourth preseason game on Sunday, April 20.

The 2016 NFL preseason schedule was released on November 27, 2016, and it will likely serve as a reminder of what the teams will be facing next year",Yes,squad
"In 1954, major Serbian and Croatian writers, linguists and literary critics, backed by Matica srpska and Matica hrvatska, began to gather for a month-long celebration of the publication of the first Serbian and Croatian books in France. The occasion also contained an international conference on Slavic literature in France. During the conference there were many discussions on the ways in which the Serbian and Croatian literary traditions could serve as a bridge for the European literary project. The most significant among them was the conference held on 14-15th January 1959, in Paris between Srdja Trifunovic, the literary critic and leader of the Slovene Renaissance, and Jadranka Lajeva (later president-designate of the Council of Europe).

The Slovene Renaissance was a political movement and it took an active part in the formation of a new Slovenia. It was strongly in favour of the ""cultural autonomy"" of Slovenia, its independence from central authority.",Yes,squad-better
"The Bush administration then turned its attention to Iraq, and argued the need to remove Saddam Hussein from power in Iraq had become urgent. Among the stated reasons Bush used for this was that Saddam's weapons capabilities were a threat to the US. Bush, however, had ignored US intelligence which showed that Iraq had no weapons of mass destruction at the time.

In March 2003, Congress passed and Bush signed off on the Authorization for Use of Military Force, or AUMF, also known as the Iraq Liberation Act. This act authorized the president to use the US military in ""any manner and for any purpose"" in order to combat ""the Iraq threat.""

The President said, ""The time is long overdue to free the Iraqi people from dictatorship and tyranny."" Bush even went off on a tangent about Saddam's supposed ""war crime"" in the 1990s as well as what he perceived as a lack of the Syrian government's response to a Sarin gas attack.

While this particular",Yes,squad-better
"An adolescent's environment plays a huge role in their identity development. While most adolescent studies are conducted on white, middle class children, studies show that the social environment of a black child is very different from a white and the social environment of a Latino child is very different from a white.""

According to the American Psychological Association:

""Black children are more likely to be raised in a single-parent family than white children or Hispanic children; they are more likely to be raised away from their families during childhood; they are more likely to have poor educational outcomes; and they perform poorly on a wide range of cognitive and emotional measures during childhood.""

While the data is still emerging (if it isn't already), there are studies that show:

A black child is four times (4.3%) more likely to be suspended from school

A black child is 18% more likely to be in poverty than a white or Hispanic child

A black child is 8 times (",Yes,squad-better
"The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in China, a Muslim-majority nation that also bans the hijab and burqa.

The ""pigskin"" campaign comes as Muslims are being increasingly targeted by hardline Muslim separatists and Islamist extremists in Xinjiang, home to Muslim Uighurs. The campaign appears to have been led by Urumqi police.

The police crackdown on Islamic attire comes just days after Xinjiang officials announced the banning of headscarves in school-related activities.

The China Islamic Lawyer's Association, a private group, said the ban was ""cruel persecution against the Uighurs"".

State security authorities in Xinjiang, which borders Kazakhstan, Tajikistan and Kyrgyzstan and which is home to the Uighur Muslim minority and the government-ruled region of nine million people, have repeatedly banned or severely restricted",Yes,xsum-better
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons for removing Saddam was to prevent him from obtaining or selling nuclear weapons. The Bush administration was worried that Saddam might give a nuclear weapon to terrorists, either in exchange for weapons of mass destruction, or in defiance of U. N. Security Council mandates on the issue. And it was worried Saddam might use the weapons to retaliate for international attacks. There was also concern that he might use them to coer ce other neighboring countries. Thus, they believed, Iraq was dangerous in both ways and needed to be removed as head of a potential W MD program as well as an effective W e k.  ers ia `` a  s t ar t   c h e e d i n g o f t he c e n ti s of t",Yes,squad
"Maj Richard Scott , 40 , is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire, the court heard.          A court heard he had `` lost his temper on a long journey `` and turned the wheel` s back in his direction.         Mr Scott was initially stopped for driving 50 mph over the 30 mph speed limit, the trial heard.     But he managed to break away, driving for over two miles.         He had failed to give evidence   , but a forensic examination found the Audi he was driving had been covered in the blue paint in an attempt to disguise it.     When Mr Scott` s car slammed into a house in the early hours of Saturday 5 April, he was left with severe head injuries.         Mr Scott` s brother, Paul, who was driving a passing car, stopped to help when he",Yes,xsum
"Compared to other team sports , the National Football League preseason is very structured . Every NFL team plays exactly four pre-season exhibition games a year , two at home and two on the road. The purpose of the pre- season is to give your favorite team with a chance to test out the majority of their new rookies and young players. In addition, it can give new head coaches and new assistant coach an opportunity to make an impact before the regular season begins.    NFL regular season games are limited to a maximum of seventeen minutes of total off ici and def ici play each team, while the preseason schedule allows each team to play twice more than double that with the additional two teams.",Yes,squad-better
"You tell Death that you will never tire of living no matter how long you live . It makes you a bet that you will and thus grants you true immortality for all eternity. But there is a catch. Every year, you must choose a different person to be murder- ed by Death, or Risk the wrath of it and end up rotting in eternal ag ony. But you have to choose carefully   or you yourself can be murder ed before you  make the fateful decis tion. And then you yourself will become nothing.  If you win your bet, you will truly become imm ort al-  It 's a dangerous proposition, but what better fate could there be for a human life- force to  live et ern ally?   T rou bles arise out of the most innocent situations.  Death is a myster ious force and is not afraid of you. < /s > </ p> < / t",Yes,writing-better
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons for the use of military force was to force Iraqi leader Saddam Hussein to disarm and abandon weapons of mass destruction ( WMD ) and to remove him from the regional power politics of the Middle East . After months of U . N - led military campaigns in Iraq , Saddam and his regime were removed in a U . N - supported invasion. The United States and the U . N then worked to establish a postwar authority that sought to establish a stable society and an effective government . During this time , the Bush administration focused on the rebuilding of Iraq in a military fashion where both the U . S . and U . S . Coalition forces supported the reconstruction efforts . One of the most significant challenges to addressing the postwar reconstruction and transition",Yes,squad
"An adolescent 's environment plays a huge role in their identity development . While most adolescent studies are conducted on white , middle class children , studies show that the racial disparities in adolescents can lead to more adverse behavior in life from early youth to adulthood . In addition to the racial disparities in adolescence that exist , a new study suggests that economic disparities may be contributing much of the racial differences that exists in adolescent identity . A recent study on a subset of high school students in Washington D . C has discovered that among the high school students from all racial groups , the black students were significantly more likely to identify with low status groups , such as African Americans , Hispanics , gang members , the poor , and disabled . This group of black high school students were also more likely to feel that they are victims of injustice and have a higher expectation for negative consequences from their circumstances . The study was",Yes,squad
"In practice , not all rule violations will result in a disqualification as the referee may use their own judgement and is not obligated to stop the match . Usually , if a referee stops the match if they deem the actions of one fighter are detrimental to the health of their own fighter , it could be considered as a fair decision , as in the case where one fighter was in a vulnerable position. In fact , the majority of rule violations have nothing to do with the safety of the fighter which is what referees are there to decide . The majority of fighters are judged more on their ability to perform rather than their ability to take punishment and it is only in rare instances where a fighter , who is not healthy or who poses a risk to safety , is disqualified due to injury that we know of. There are various reasons for the stopp age which can range from minor to serious injuries .",Yes,squad
"The Bush administration then turned its attention to Iraq , and argued the need to remove Saddam Hussein from power in Iraq had become urgent . Among the stated reasons for this were : 1 . In order to eliminate what was then perceived as a threat that Saddam Hussein might provide or sell weapons of mass destruction to Islamic terrorists; 2 . Iraq was not a threat to the United States , but its alleged support of terror ism made it a threat to the region and thus to U . S . interests ; and 3 . President George W . Bush stated that , `` Iraq ' s failure to account for thousands of tons of explos ive in weapons that Sadd am Hussein had used against the Iranians raised serious concerns about whether he was seeking to recon struct these weapons to target the United States 's military installations in the region . '' Bush also said , `` When Ira Qa ` u e and the Tal",Yes,squad-better
